batch,group,scheduled_time,hook,views,reach,likes,shares,saved,permalink,error
,,2026-08-09T11:30:00,"By 2027, businesses without AI content systems will str",102,88,0,0,0,https://www.instagram.com/reel/Db0LF36CPZv/,
,,2026-08-08T22:00:00,Claude can now run your content department.,101,84,0,0,0,https://www.instagram.com/reel/Dbyu2h6jaS6/,
,,2026-08-09T13:10:00,"By 2027, businesses without AI content systems will str",89,73,0,0,0,https://www.instagram.com/reel/Db0TqEkFc5X/,
,,2026-08-04T11:32:00,I stopped creating content myself. AI does it now.,72,63,0,0,0,https://www.instagram.com/reel/DbpmbGyk7M7/,
,,2026-08-04T10:54:00,I stopped creating content myself. AI does it now.,5,5,0,0,0,https://www.instagram.com/reel/DbpmWItCWor/,
,,2026-08-04T12:10:00,I stopped creating content myself. AI does it now.,3,3,0,0,0,https://www.instagram.com/reel/DbpmjTdgQzK/,
,,2026-08-08T20:20:00,Claude can now run your content department.,2,0,0,0,0,https://www.instagram.com/reel/DbyjPevAujY/,
,,2026-08-08T21:10:00,Claude can now run your content department.,1,1,0,0,0,https://www.instagram.com/reel/DbynbIkEwVe/,
,,2026-08-09T14:50:00,One AI agent saved me 20 hours a week,0,0,0,0,0,https://www.instagram.com/reel/Db0izJWCdve/,
,,2026-08-09T15:40:00,One AI agent saved me 20 hours a week,0,0,0,0,0,https://www.instagram.com/reel/Db0nlIilK-2/,
0808_avatar,burst,2026-08-10T17:19:00,The #1 AI skill for business owners in 2026 isn't a too,0,0,0,0,0,https://www.instagram.com/reel/Db3X1O0giuz/,
0808_avatar,burst,2026-08-10T17:19:00,“I don’t have time to get ready and film.” So I stopped,0,0,0,0,0,https://www.instagram.com/reel/Db3X5lviUVO/,
0808_avatar,burst,2026-08-10T17:19:00,This AI workflow makes 30 Reels in 5 minutes 👇,0,0,0,0,0,https://www.instagram.com/reel/Db3X-Y0jCVW/,
0808_avatar,burst,2026-08-10T17:19:00,I filmed this looking like a mess. You’ll never see tha,0,0,0,0,0,https://www.instagram.com/reel/Db3YDjvk738/,
0808_avatar,burst,2026-08-10T17:19:00,Still comfortable without AI? Not for much longer.,0,0,0,0,0,https://www.instagram.com/reel/Db3YIN0gXY-/,
0808_avatar,burst,2026-08-10T17:19:00,I stopped wasting an hour getting camera-ready for a 30,0,0,0,0,0,https://www.instagram.com/reel/Db3YNFAkRLV/,
0808_avatar,burst,2026-08-10T17:19:00,"If you could learn only ONE AI tool this year, make it ",0,0,0,0,0,https://www.instagram.com/reel/Db3YR_sCXyt/,
0808_avatar,burst,2026-08-10T17:19:00,I film once. My AI team makes me camera-ready and does ,0,0,0,0,0,https://www.instagram.com/reel/Db3YXFngdWl/,
0808_avatar,burst,2026-08-10T17:19:00,Most people use AI to write faster. The smart ones use ,0,0,0,0,0,https://www.instagram.com/reel/Db3Yb15DXzy/,
0808_avatar,burst,2026-08-10T17:19:00,You don’t need an AI avatar to replace you. You need on,0,0,0,0,0,https://www.instagram.com/reel/Db3YkLPgVYq/,
